NGO_Name,category,BIR_expiry_date,PCNC_expiry_date,website
"Assisi Development Foundation, Inc.",SocialWelfareandDevelopment,09/17/2021,12/12/2023, http://www.assisi-foundation.org/
"Association of Foundations Phils., Inc.",Others,09/17/2020,12/06/2021, http://afonline.org/
"Assumption College, Inc.",Education-FormalSchool,11/08/2021,11/08/2021, https://www.assumption.edu.ph/
Ateneo de Davao University,Education-FormalSchool,04/05/2022,04/05/2022, http://www.addu.edu.ph/
"Ateneo de Iloilo, Inc.",Education-FormalSchool,06/13/2021,10/06/2021, http://www.smcs.adi.edu.ph/
"Ateneo de Manila University, Inc.",Education-FormalSchool,04/05/2022,05/04/2022, http://www.ateneo.edu/
Ateneo de Naga University,Education-FormalSchool,03/31/2020,03/31/2020, https://www.adnu.edu.ph/
"Ateneo de Zamboanga University, Inc.",Education-FormalSchool,03/31/2020,03/31/2020, https://www.adzu.edu.ph/
"Ateneo Scholarship Foundation, Inc.",Education-SupportsFormalSchools/Students,06/28/2020,11/12/2024, https://ateneo.edu/alumni/ateneo-scholarship-foundation
"AY Foundation, Inc.",Education-SupportsFormalSchools/Students,05/20/2021,09/27/2022, https://ayfoundation.com.ph/
"Ayala Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,12/31/2020, https://www.ayalafoundation.org/
"Balay Dalangpan Sg Kabataan Foundation, Inc.",SocialWelfareandDevelopment,02/04/2021,02/04/2021, http://balaydalangpan.org/
Children International (Quezon City) Inc.,SocialWelfareandDevelopment,10/30/2019,10/30/2019, https://www.children.org/see-the-impact/where-we-work/asia-philippines
"Children’s Heart Foundation, Inc.",Health–public/community,08/23/2020,05/01/2022, http://www.childrensheart.org.ph/
"Children’s Hour Philippines, Inc.",Others,09/17/2021,01/25/2022, https://www.childrenshour.org.ph/
"Children’s Joy Foundation, Inc.",CommunityBuilding/Development,08/30/2020,08/30/2020, https://childrensjoyfoundation.org/
"Children’s Mission Philippines Hills of Grace Foundation, Inc.",SocialWelfareandDevelopment,02/12/2020,06/27/2021, http://www.cmp.ph/
"Chosen Children Village Foundation, Inc.",SocialWelfareandDevelopment,10/07/2021,03/20/2023, https://chosenchildrenfoundation.com/
"Christ The King College-San Fernando City, La Union",Education-FormalSchool,03/15/2022,03/15/2022, www.ckcluphil.net
"Christian Mission Service Philippines (CMSP), Inc.",SocialWelfareandDevelopment,12/28/2020,12/10/2022, http://cms.org.ph/
"Christ’s Commission Foundation Ministries, Inc.",SocialWelfareandDevelopment,02/20/2020,06/28/2022,
"CI Philippines, Inc. (formerly CI-Philippines Housing Foundation, Inc.)",SocialWelfareandDevelopment,09/11/2022,12/10/2022,
"Cityland for Social Progress Foundation, Inc.",CommunityBuilding/Development,12/17/2020,08/22/2023,
"Cityland Foundation, Inc.",SocialWelfareandDevelopment,12/17/2020,02/25/2021,
"Ballet Philippines Foundation, Inc.",CultureandArts,05/08/2022,05/08/2022, https://ballet.ph/
"Bantayog Ng Mga Bayani Foundation, Inc.",Others,06/15/2018,12/12/2021, http://www.bantayog.org/
"Bato-Balani Foundation, Inc.",SocialWelfareandDevelopment,04/03/2024,11/12/2024, http://www.batobalani.org.ph/
"Bayan Academy for Social Entrepreneurship and Human Resource Development, Inc.",SocialWelfareandDevelopment,10/28/2020,01/23/2024, https://www.bayanacademy.org/
"BDO Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,12/31/2020, https://www.bdo.com.ph/foundation/home
"Beacon International School Foundation, Inc.",Education-FormalSchool,12/31/2020,12/31/2020, https://www.beaconschool.ph/
"Bert Lozada Foundation, Inc.",YouthDevelopmentandSports,12/07/2020,05/01/2022, https://bertlozadafoundation.org/
"Biblical Seminary of the Philippines, Inc.",Education-FormalSchool,12/13/2021,09/27/2022, https://bsop.edu.ph/
"Clara O. Corpus Foundation, Inc.",Education-FormalSchool,07/25/2020,08/28/2024,
"Claudio Teehankee Foundation, Inc. (form. Chief Justice Claudio Teehankee Memorial Foundation, Inc.",Education-FormalSchool,05/30/2020,11/12/2022, teehankeeruleoflaw.org
"Cleft Foundation, Inc.",Health–public/community,02/27/2020,02/26/2023, www.cleft-foundation.com
"Coalition for Bicol Development, Inc.",CommunityBuilding/Development,03/20/2020,02/27/2022,
"Coastal Conservation and Education Foundation, Inc.",Environment/Biodiversity,08/23/2020,08/28/2022, https://www.coast.ph/
"Coca-Cola Foundation Philippines, Inc.",Education-SupportsFormalSchools/Students,12/26/2020,09/26/2023, coca-colafoundation.ph
Community and Family Services International,SocialWelfareandDevelopment,11/27/2020,12/12/2023, www.cfsi.ph
"Concordia Children’s Services, Inc.",SocialWelfareandDevelopment,10/22/2020,06/27/2023, https://concordiachildrens.org/
"Bidlisiw Foundation, Inc.",SocialWelfareandDevelopment,09/17/2021,08/22/2023, https://www.bidlisiwfoundation.org/
"Bonifacio Art Foundation, Inc.",CultureandArts,08/28/2020,08/28/2020, https://www.themindmuseum.org/about-us/bonifacio-art-foundation-inc
"BP Cebu Foundation, Inc.",CommunityBuilding/Development,01/06/2021,01/06/2021, https://bukaspaladcebufoundation.org/
"Buddhist Compassion Relief Tzu Chi Foundation Philippines, Inc.",SocialWelfareandDevelopment,09/17/2020,01/23/2024, http://www.tzuchi.org/
"Conrado and Ladislawa Alcantara Foundation, Inc.",SocialWelfareandDevelopment,08/23/2020,05/15/2021, https://alcantarafoundation.wordpress.com/
"Consuelo Chito Madrigal Foundation, Inc.",SocialWelfareandDevelopment,03/12/2020,08/17/2020, chitomadrigalfoundation.org
"Cor Jesu College Br. Polycarp Institute for Community Development Foundation, Inc.",CommunityBuilding/Development,09/10/2020,09/10/2020, http://cjc-bsh.org/
"CRIBS Foundation, Inc.",SocialWelfareandDevelopment,09/09/2021,09/09/2021, www.cribsfoundation.com
"Defending Family Values Foundation, Inc.",SocialWelfareandDevelopment,07/09/2020,03/30/2022,
"Diwa ng Magdalo Foundation, Inc.",Education-SupportsFormalSchools/Students,07/25/2020,09/25/2022, www.magdalofoundation.org
"DMIRIE Foundation, Inc.",SocialWelfareandDevelopment,12/15/2020,12/15/2020, www.dmiriefoundation.com
"Don Antonio O. Floirendo, Sr. Foundation, Inc.",SocialWelfareandDevelopment,07/19/2021,06/26/2024, http://www.anflocor.com/aof/
"Don Bosco Boy’s Home, Inc.",SocialWelfareandDevelopment,09/17/2021,11/12/2022, https://sites.google.com/site/donboscoboyshomeliloan/home
"Don Bosco College, Inc.",Education-FormalSchool,11/21/2023,05/01/2024, donboscocanlubang.edu.ph
"Don Bosco Foundation of the Philippines, Inc.",Education–Technical/Vocational,04/14/2022,12/10/2024,
"Don Bosco Technical Institute Tarlac, Inc.",Education–Technical/Vocational,10/11/2021,10/11/2021, https://www.donboscotarlac.com/
"Don Bosco Technology Center, Inc.",Education–Technical/Vocational,08/02/2021,08/02/2021, www.dbts-cebu.edu.ph
"Don Bosco Training Center – San Jose, Inc.",Education–Technical/Vocational,12/28/2011,N/A,
"Dr. Pablo O. Torre Foundation, Inc.",SocialWelfareandDevelopment,03/01/2018,03/30/2020, https://dpotfi.wordpress.com/
"Du-Baladad and Associates (DBD Law) Foundation, Inc.",Education-SupportsFormalSchools/Students,10/23/2020,12/10/2022, https://www.bdblaw.com.ph/index.php/foundation-home
"Henry Sy Foundation, Inc.",Others,03/20/2020,09/26/2021, https://www.sm-foundation.org/who-we-are/affiliates/henry-sy-foundation
"Hermano (San) Miguel Febres Cordero Medical Education Foundation (De La Salle Medical and Health Sciences Institute), Inc.",Education-FormalSchool,02/04/2024,02/04/2024, www.dlshsi.edu.ph
"Homer Foundation, Inc.",Education-SupportsFormalSchools/Students,03/17/2019,10/24/2023, https://www.facebook.com/homerwecare/
"Honda Foundation, Inc.",Others,07/10/2022,11/12/2022, Executive Director / Trustee-Corp. Sec.
"Hope Worldwide Philippines, Inc.",SocialWelfareandDevelopment,02/12/2020,12/12/2023, www.hopewwph.org
"HopeNow Philippines Foundation, Inc.",Health–public/community,11/07/2020,11/07/2020, www.hopenow.ph
"ICA Greenhills Scholarship Foundation, Inc.",Education-FormalSchool,10/11/2021,10/11/2021, www.icagh.edu.ph
"ICCP Group Foundation, Inc.",SocialWelfareandDevelopment,10/30/2021,12/06/2021,
"ICTSI Foundation, Inc.",SocialWelfareandDevelopment,03/01/2021,03/01/2021, https://www.ictsi.com/what-we-do/ictsi-foundation-inc
"Igan Ng Pilipinas Foundation, Inc.",SocialWelfareandDevelopment,02/22/2021,12/06/2021, https://www.igan.org.ph/
"Ignajo Foundation, Inc.",SocialWelfareandDevelopment,05/15/2020,05/15/2020,
"Ilijan Community Development Foundation, Inc.",Education–Technical/Vocational,08/30/2020,08/30/2020,
"Great and Bountiful Blessings Foundation, Inc.",SocialWelfareandDevelopment,12/14/2021,12/14/2021,
"GreenEarth Heritage Foundation, Inc.",Environment/Biodiversity,03/01/2020,11/12/2024, www.greenearthheritage.org
"GT Foundation, Inc. (formerly GT-Metro Foundation, Inc.)",SocialWelfareandDevelopment,02/27/2020,02/26/2025, www.gtmetro.org
"Guanella Center, Inc.",SocialWelfareandDevelopment,03/30/2018,08/17/2020, www.servantsofcharity.org
"H.A.R.I. Foundation, Inc.",Education-SupportsFormalSchools/Students,10/15/2020,09/25/2022, https://www.hyundai.ph/corporate/hari-foundation
"H E R O  Foundation, Inc.",Education-SupportsFormalSchools/Students,10/21/2022,05/01/2024, www.herofoundation.com.ph
"Habitat for Humanity Philippines Foundation, Inc.",SocialWelfareandDevelopment,09/24/2020,09/24/2020, www.habitat.org.ph
"Hands of Love Philippines Foundation, Inc.",SocialWelfareandDevelopment,01/23/2020,01/22/2025, https://holpfi.org/
"Hands On Manila Foundation, Inc.",Education–Non-Formal/ALS,05/17/2020,09/27/2022, www.handsonmanila.org.ph
"Haribon Foundation for the Conservation of Natural Resources, Inc.",Environment/Biodiversity,06/28/2020,12/10/2022, www.haribon.org.ph
"Health Education Environment Discipleship Foundation, Inc.",SocialWelfareandDevelopment,06/29/2024,08/28/2024, www.heed.org.ph
"Health Futures Foundation, Inc.",Health–public/community,03/26/2021,12/06/2021, www.healthfuturesfoundation.com
"Fellowship of Christians in Government, Inc. (FOCIG)",Others,06/24/2022,07/24/2022, www.focig.com
"FFCCCII Foundation, Inc.",SocialWelfareandDevelopment,05/09/2021,02/22/2022, www.ffcccii.com.ph
Filipino Wars Veterans Foundation (FILVETS) Incorporated,SocialWelfareandDevelopment,07/07/2020,07/07/2020, www.filvets.net
"Fo Guang Shan Foundation, Inc.",Education-FormalSchool,08/30/2020,08/30/2020, https://guangmingcollege.edu.ph/
"Food for Hungry Minds School, Inc.",Education-FormalSchool,10/26/2022,05/09/2023, www.foodforhungryminds.org
"Foundation for Information Technology Education and Development, Inc.",Education-SupportsFormalSchools/Students,10/18/2022,05/19/2023, www.fit-ed.org
"Foundation for Liberty and Prosperity, Inc.",Research,04/05/2020,02/26/2023, http://libpros.com
"Foundation for the Development of Agusanons, Inc.",SocialWelfareandDevelopment,10/26/2020,12/12/2023, https://www.facebook.com/fdai.ph/
"Fr. Al’s Children Foundation, Inc.",SocialWelfareandDevelopment,06/15/2020,06/15/2020, www.facfi.org.ph
"France-Philippines United Action Foundation, Inc.",SocialWelfareandDevelopment,09/20/2019,02/21/2021, https://www.fpua.org.ph/
"Frere (Saint) Benilde Romancon Educational Foundation, Inc. – De La Salle Univer",Education-FormalSchool,09/24/2020,09/24/2020, www.dlsud.edu.ph
"Friends of Hope, Inc.",SocialWelfareandDevelopment,06/13/2023,06/13/2023, www.friendsofhope.ph
"Friends of Verbum Dei, Inc.",Religious,08/04/2020,08/04/2020, https://www.verbumdeiphilippines.com/quezon-city.html
"Fundacion Santiago, Inc.",SocialWelfareandDevelopment,09/09/2021,09/09/2021, fundacionsantiago.ngo.ph
"Gabriel Taborin College of Davao Foundation, Inc.",Education-FormalSchool,06/17/2022,06/17/2022, www.Taborin.com
"Gawad Kalinga Community Development Foundation, Inc.",SocialWelfareandDevelopment,09/12/2019,01/23/2022, www.gk1world.com
"Gawad Metronian Educational Foundation, Inc.",Education-FormalSchool,09/20/2019,03/20/2021, www.gawadmetronian.org
"Global Commission Fellowship Foundation, Inc.",SocialWelfareandDevelopment,01/23/2020,01/22/2021, https://www.facebook.com/gcffoundation
"Global Environment and Nature Ecosystems Society (Phil.) Foundation (GENESYS), Inc.",Environment/Biodiversity,04/05/2020,04/05/2020,
"Global Peace Festival Foundation Philippines, Inc.",CommunityBuilding/Development,11/27/2020,03/20/2021, http://www.globalpeacephilippines.org/
"Global Reciprocal Colleges, Inc.",Education-FormalSchool,03/13/2022,03/13/2022, www.grc.edu.ph
"GMA Kapuso Foundation, Inc.",SocialWelfareandDevelopment,01/24/2021,08/22/2023, www.kapusofoundation.com
"Gokongwei Brothers Foundation, Inc.",Education-SupportsFormalSchools/Students,08/30/2023,05/01/2024, https://www.gokongweibrothersfoundation.org/
"Gonzalo and Carmen Abaya Memorial Foundation (GCAMFI), Inc.",Education-SupportsFormalSchools/Students,05/08/2022,05/08/2022,
"Evangelion Foundation, Inc.",Religious,09/22/2018,10/25/2022, evangelionfoundation.org
"Everest Academy, Inc.",Education-FormalSchool,10/10/2021,10/10/2021, www.everestmanila.com
"Every Nation Leadership Institute, Inc. (formerly Victory Leadership Institute, Inc.)",Education-FormalSchool,10/19/2023,10/19/2023, www.enli.org.ph
"F.U.S.E. Foundation (For the Upgrading of Standard of Education),Inc.",Education-SupportsFormalSchools/Students,08/30/2022,05/09/2023, www.fuse.org.ph
"Faith Academy, Inc.",Education-FormalSchool,03/06/2021,03/06/2021, https://faith.edu.ph/
"Family Cooperation Health Services Foundation, Inc.",Health–public/community,03/26/2020,06/26/2022, www.famcohsef.org
"Far East Broadcasting Company (Philippines), Inc.",Religious,08/28/2023,12/12/2023, www.febc.org.ph
"Febias College of Bible, Inc.",Education-FormalSchool,05/08/2023,09/26/2023, www.febias.edu.ph
"Feed The Children Philippines, Inc.",SocialWelfareandDevelopment,03/05/2020,10/15/2020, www.ftcphils.org
"Fei Hua Good News Foundation, Inc.",Others,08/03/2020,08/03/2020,
"Felicidad T. Sy Foundation, Inc.",Others,03/20/2020,01/23/2024,
"Felix G. Yusay Foundation, Inc.",SocialWelfareandDevelopment,12/08/2019,02/21/2021,
"Dualtech Training Center Foundation, Inc.",Education–Technical/Vocational,12/14/2021,12/14/2021, www.dualtech.org.ph
"Dynamic Teen Company-Making a Difference, Inc.",Education-SupportsFormalSchools/Students,,07/24/2022, www.dtc.org.ph
"DZRV Radio Veritas Foundation, Inc.",SocialWelfareandDevelopment,05/15/2021,11/12/2022,
"E. Zobel Foundation, Inc.",SocialWelfareandDevelopment,09/17/2021,12/10/2024, www.enriquezobelfoundation.org
"Earth Day Network Philippines, Inc.",Environment/Biodiversity,05/15/2020,05/15/2020, http://www.earthdayphils.org
"Educational Research and Development Assistance (ERDA), Foundation, Inc.",SocialWelfareandDevelopment,03/20/2020,05/09/2023, www.erda.ph
Emergency Rescue Unit Foundation Phil. Inc.,SocialWelfareandDevelopment,09/10/2021,02/27/2024, www.eruf161.com.ph
"End Child Prostitution, Child Pornography, and the Trafficking of Children for Sexual Purposes (ECPAT-Philippines), Inc.",SocialWelfareandDevelopment,12/10/2020,11/12/2022, https://www.endslaverynow.org/ecpat-philippines
"ERDA TECH Foundation, Inc.",Education–Technical/Vocational,09/09/2021,09/09/2021, www.erdatech.edu.ph
"Ernesto Asay Yu Foundation, Inc.",Education-SupportsFormalSchools/Students,08/30/2020,08/30/2020, www.eayfph.org
"Eugenio Lopez Foundation, Inc.",CultureandArts,12/31/2020,12/31/2020, www.lopez-museum.com
"European International School, Inc.",Education-FormalSchool,02/08/2023,07/25/2023, www.eis-manila.org
"Jaime V. Ongpin Foundation, Inc.",Environment/Biodiversity,09/16/2021,12/10/2022, www.jvofi.org
"JD Pamana Foundation, Inc.",Education-SupportsFormalSchools/Students,10/10/2021,10/10/2021, www.jdpamana.com
"Jesus V. del Rosario Foundation, Inc.",SocialWelfareandDevelopment,01/16/2020,07/26/2022,
"Jetti Foundation International, Inc.",Education-SupportsFormalSchools/Students,02/28/2019,09/26/2021,
"Jollibee Group Foundation, Inc.",SocialWelfareandDevelopment,09/09/2021,09/09/2021, https://www.jollibeefoundation.org/
"Juanito I. King Foundation, Inc.",SocialWelfareandDevelopment,07/07/2020,07/07/2020, jikfi.org
"Justice Peace, and Integrity of Creation-Integrated Development Center, Inc.",SocialWelfareandDevelopment,11/07/2020,11/07/2020, www.jpic-idc.org.ph
"Kabang Kalikasan Ng Pilipinas Foundation, Inc.",Environment/Biodiversity,11/23/2017,11/12/2024, www.wwf.org.ph
"Kaibigan Ermita Outreach Foundation, Inc.",SocialWelfareandDevelopment,07/01/2021,12/12/2023, kaibiganfoundation.weebly.com
"Kaisa Heritage Foundation, Inc.",CultureandArts,04/01/2020,06/27/2023, www.kaisa.org.ph
"Kaisahang Buhay Foundation, Inc.",SocialWelfareandDevelopment,04/04/2019,12/06/2019, www.kbf.ph
"Kalaw Ledesma Foundation, Inc.",CultureandArts,06/03/2022,08/28/2022, www.klfi.ph
"Kalinangan Youth Foundation, Inc.",YouthDevelopmentandSports,05/24/2020,08/23/2022, http://kalfi.org/
"Kalipay Negrense Foundation, Inc.",SocialWelfareandDevelopment,11/27/2021,05/01/2024, www.kalipay.org
"Kapampangan Development Foundation, Inc.",SocialWelfareandDevelopment,01/26/2019,01/26/2019, kapampangandevelopmentfoundation.org
"Kapatiran Kaunlaran Foundation, Inc.",SocialWelfareandDevelopment,05/15/2020,05/15/2020, www.kkfi.org.ph
"Kasagana-Ka Development Center, Inc.",Education–Non-Formal/ALS,04/26/2020,10/25/2020, http://kcoop.org.ph/index.php
"Kasama Kita sa Barangay Foundation, Inc.",Education–Technical/Vocational,05/08/2022,05/08/2022, https://www.facebook.com/kksbfi/
"Kasilak Development Foundation, Inc.",CommunityBuilding/Development,12/21/2019,02/27/2024, https://www.facebook.com/pages/category/Nonprofit-Organization/Kasilak-Development-Foundation-Inc
"Katipunan ng Mamamayan ng Bagong Pilipinas Foundaiton, Inc.",SocialWelfareandDevelopment,09/10/2020,09/10/2020,
"KC Philippines Foundation, Inc.",Education-SupportsFormalSchools/Students,06/14/2019,01/23/2020, www.kofc.org.ph
"KEITECH Educational Foundation, Inc. (formerly Kananga-EDC Educational Foundatio",Education–Technical/Vocational,08/02/2021,08/02/2021, www.keitech.org
"Kidney Foundation of the Philippines, Inc.",Health–public/community,12/31/2019,06/28/2020, www.kfp.org.ph
"Knowledge Channel Foundation, Inc.",SocialWelfareandDevelopment,09/24/2020,09/24/2020, www.knowledgechannel.org
"Ilog Kinderhome Foundation, Inc.",SocialWelfareandDevelopment,03/12/2020,02/21/2023,
"Imus Unida Christian School, Inc.",Education-FormalSchool,08/02/2021,08/02/2021, www.iucsph.com
"ING Foundation Philippines, Inc.",Education-FormalSchool,05/24/2021,07/25/2023,
"Institute of Social Order, Inc.",CommunityBuilding/Development,01/24/2021,06/26/2024, http://www.iso.org.ph
"International Bazaar Foundation, Inc.",SocialWelfareandDevelopment,04/05/2020,04/05/2020,
"International Care Ministries Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,12/31/2020, www.caremin.com
"International Center for Innovation, Transformation  and Excellence in Governance (INCITEGov), Inc.",Others,12/06/2021,12/06/2022, http://incitegov.org.ph/
"International Graduate School of Leadership, Inc. (formerly Int’l. School of The",Education-FormalSchool,09/24/2020,09/24/2020, www.igsl.asia
"International Sheng Zhen Society Foundation, Incorporated",Health–public/community,03/13/2022,03/13/2022, www.shengzhen.org
"IPI Foundation, Inc.",SocialWelfareandDevelopment,10/13/2017,01/27/2021, http://ipi-phil.com/ipi-foundation/
"Isla Lipana & Co., Foundation, Inc.",Education-SupportsFormalSchools/Students,12/22/2019,08/23/2020,
"J. Amado Araneta Foundation, Inc.",Others,05/15/2021,06/26/2022,
"Kythe, Inc.",Health–public/community,11/15/2020,01/27/2021, www.kythe.org
"La Proteccion de la Infancia, Inc.",Health–public/community,09/29/2019,06/26/2020, www.gotadeleche.com
"La Salle Academy, Inc.",Education-FormalSchool,04/05/2021,04/05/2021,
"La Salle University-Ozamiz, Inc.",Education-FormalSchool,05/07/2020,05/07/2020, www.lsu.edu.ph
"Lao Foundation, Inc.",SocialWelfareandDevelopment,05/08/2021,05/01/2022, https://www.facebook.com/LaoFoundationInc
"LBC Hari ng Padala Foundation, Inc.",Education-SupportsFormalSchools/Students,09/25/2020,07/25/2021, https://www.facebook.com/LBCFoundation/
"League of Corporate Foundations, Inc.",Others,10/28/2020,10/28/2020, www.lcf.org.ph
"Let’s Save The Brain Foundation, Inc.",Health–public/community,10/25/2020,05/01/2022, www.letssavethebrain.org
"Ligaya Ng Panginoon Foundation, Inc.",Religious,11/09/2021,11/09/2021, www.lnp.org.ph
